Features,min,max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold
all_features,-0.5,-0.25,0.2679,0.6364,0.7575,0.7427,0.3771,0.2735,0.7607,0.3002
all_features,-0.25,0,0.4727,0.7464,0.5983,0.6465,0.5788,0.5450,0.7363,0.4648
all_features,0,0.25,0.4839,0.7487,0.6143,0.6581,0.5879,0.5507,0.7437,0.4718
all_features,0.25,0.5,0.4345,0.7862,0.5047,0.5965,0.5597,0.5277,0.7130,0.4318
all_features,0.5,0.75,0.3603,0.5375,0.7815,0.7360,0.4314,0.3711,0.7317,0.4263
all_features_bcg,-0.5,-0.25,0.8295,0.8295,0.9762,0.9583,0.8295,0.8944,0.9844,0.7178
all_features_bcg,-0.25,0,0.8992,0.9302,0.9497,0.9434,0.9145,0.9717,0.9875,0.6626
all_features_bcg,0,0.25,0.9054,0.9329,0.9529,0.9464,0.9189,0.9742,0.9887,0.6708
all_features_bcg,0.25,0.5,0.8779,0.9307,0.9374,0.9352,0.9035,0.9639,0.9839,0.6256
all_features_bcg,0.5,0.75,0.7727,0.9208,0.9380,0.9348,0.8403,0.9225,0.9806,0.4762
all_features_sigmas,-0.5,-0.25,0.6569,0.7614,0.9445,0.9221,0.7053,0.7313,0.9412,0.4599
all_features_sigmas,-0.25,0,0.7799,0.8413,0.8854,0.8711,0.8095,0.8842,0.9417,0.5815
all_features_sigmas,0,0.25,0.7772,0.8508,0.8822,0.8719,0.8123,0.8866,0.9431,0.5698
all_features_sigmas,0.25,0.5,0.7807,0.8277,0.8875,0.8680,0.8035,0.8780,0.9377,0.5892
all_features_sigmas,0.5,0.75,0.7115,0.7500,0.9303,0.8967,0.7302,0.8048,0.9424,0.5885
