Features,i_min,i_max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold,Precision (Ret),Recall (Ret),Specificity (Ret),Accuracy (Ret),F1-score (Ret),PR AUC (Ret),ROC AUC (Ret),Threshold (Ret)
all_features,none,none,0.4725,0.7444,0.6028,0.6486,0.5781,0.5443,0.7378,0.4648,0.4725,0.7444,0.6028,0.6486,0.5781,0.5443,0.7378,0.4648
all_features,none,20.6217,0.5370,0.8264,0.5141,0.6407,0.6510,0.6170,0.7331,0.5017,0.5372,0.8245,0.5157,0.6409,0.6505,0.6199,0.7344,0.4169
all_features,20.6217,22.5626,0.4601,0.7752,0.5382,0.6180,0.5774,0.5258,0.7179,0.4576,0.4705,0.7542,0.5692,0.6315,0.5795,0.5289,0.7196,0.4565
all_features,22.5626,none,0.3376,0.6908,0.6287,0.6421,0.4536,0.3826,0.7178,0.3744,0.3457,0.6626,0.6564,0.6577,0.4543,0.3823,0.7181,0.5074
all_features_bcg,none,none,0.8986,0.9298,0.9499,0.9434,0.9140,0.9714,0.9875,0.6626,0.8986,0.9298,0.9499,0.9434,0.9140,0.9714,0.9875,0.6626
all_features_bcg,none,20.6217,0.8876,0.9171,0.9209,0.9193,0.9021,0.9671,0.9787,0.6621,0.9052,0.9045,0.9354,0.9229,0.9048,0.9689,0.9797,0.6200
all_features_bcg,20.6217,22.5626,0.8964,0.9433,0.9447,0.9442,0.9193,0.9728,0.9877,0.6360,0.8967,0.9439,0.9448,0.9445,0.9197,0.9730,0.9878,0.6148
all_features_bcg,22.5626,none,0.9165,0.9274,0.9769,0.9662,0.9219,0.9746,0.9937,0.6853,0.9156,0.9278,0.9766,0.9661,0.9217,0.9743,0.9937,0.7831
all_features_sigmas,none,none,0.7798,0.8405,0.8865,0.8717,0.8090,0.8838,0.9419,0.5815,0.7798,0.8405,0.8865,0.8717,0.8090,0.8838,0.9419,0.5815
all_features_sigmas,none,20.6217,0.8102,0.8721,0.8607,0.8653,0.8400,0.9080,0.9399,0.5932,0.7943,0.8907,0.8427,0.8622,0.8397,0.9081,0.9401,0.4604
all_features_sigmas,20.6217,22.5626,0.7800,0.8366,0.8803,0.8656,0.8074,0.8840,0.9386,0.5856,0.7711,0.8495,0.8720,0.8644,0.8084,0.8841,0.9389,0.5524
all_features_sigmas,22.5626,none,0.7358,0.7791,0.9234,0.8923,0.7568,0.8279,0.9427,0.5813,0.7261,0.7953,0.9178,0.8915,0.7591,0.8279,0.9428,0.6816
