Features,min,max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold
all_features,-26,-25,0.4213,0.7857,0.7236,0.7362,0.5485,0.5185,0.8047,0.3458
all_features,-25,-24,0.5444,0.7572,0.6918,0.7132,0.6334,0.6387,0.7965,0.5039
all_features,-24,-23,0.4894,0.8694,0.4382,0.6031,0.6263,0.6044,0.7363,0.4417
all_features,-23,-22,0.4552,0.7841,0.4912,0.5942,0.5760,0.5253,0.6976,0.4581
all_features,-22,-21,0.4555,0.7124,0.5944,0.6325,0.5556,0.5116,0.7087,0.4611
all_features,-21,-20,0.4606,0.6829,0.7170,0.7081,0.5502,0.5088,0.7761,0.4455
all_features,-20,-19,0.4079,0.6099,0.8891,0.8581,0.4888,0.4209,0.8722,0.4319
all_features_bcg,-26,-25,0.9154,0.9444,0.9776,0.9709,0.9297,0.9351,0.9909,0.8058
all_features_bcg,-25,-24,0.9287,0.9822,0.9633,0.9695,0.9547,0.9798,0.9932,0.5582
all_features_bcg,-24,-23,0.9176,0.9775,0.9456,0.9578,0.9466,0.9844,0.9922,0.5757
all_features_bcg,-23,-22,0.9160,0.9478,0.9529,0.9511,0.9316,0.9801,0.9903,0.6623
all_features_bcg,-22,-21,0.8836,0.9199,0.9423,0.9351,0.9014,0.9648,0.9843,0.6665
all_features_bcg,-21,-20,0.8223,0.8853,0.9323,0.9200,0.8526,0.9218,0.9743,0.6278
all_features_bcg,-20,-19,0.5844,0.7183,0.9360,0.9118,0.6444,0.6909,0.9509,0.6373
all_features_sigmas,-26,-25,0.7852,0.8413,0.9411,0.9207,0.8123,0.8448,0.9533,0.4994
all_features_sigmas,-25,-24,0.8086,0.8519,0.9019,0.8855,0.8297,0.8951,0.9490,0.5807
all_features_sigmas,-24,-23,0.8035,0.8780,0.8670,0.8712,0.8391,0.9050,0.9422,0.5720
all_features_sigmas,-23,-22,0.7696,0.8604,0.8603,0.8603,0.8124,0.8842,0.9359,0.5695
all_features_sigmas,-22,-21,0.7731,0.8261,0.8845,0.8657,0.7987,0.8753,0.9354,0.5946
all_features_sigmas,-21,-20,0.7278,0.8303,0.8901,0.8745,0.7757,0.8548,0.9439,0.5385
all_features_sigmas,-20,-19,0.6145,0.8142,0.9360,0.9225,0.7004,0.7476,0.9614,0.5108
